1,1,13116,12905330,2,1,2,1
2,1,12906335,13144895,2,1,2,0
3,1,13146615,16858909,2,1,2,1
4,1,16861108,17297289,2,1,2,0
5,1,17298496,120563409,2,1,2,1
6,1,120565779,121370382,2,1,2,0
7,1,121371490,121484236,2,1,1,0
8,1,142535439,144835140,2,1,2,0
9,1,144836312,147969474,2,1,2,1
10,1,147974873,149708704,2,1,2,0
11,1,149710791,249239902,2,1,2,1
12,2,10587,87050149,2,1,2,1
13,2,87051509,88258736,2,1,2,0
14,2,88260782,109266347,2,1,2,1
15,2,109267629,110796554,2,1,2,0
16,2,110800846,112036342,2,1,2,1
17,2,112037967,112383896,2,1,2,0
18,2,112385500,114179774,2,1,2,1
19,2,114181252,114282229,2,1,2,0
20,2,114283387,130815522,2,1,2,1
21,2,130816861,130835709,2,1,4,1
22,2,130858589,243187487,2,1,2,1
23,3,60197,195404482,2,1,2,1
24,3,195405877,195494232,2,1,2,0
25,3,195495721,197908615,2,1,2,1
26,4,11961,49113392,2,1,2,1
27,4,49115018,49131959,2,1,4,1
28,4,49133875,52683607,2,1,2,0
29,4,52684820,191043877,2,1,2,1
30,5,11882,177155528,2,1,2,1
31,5,177157537,177367029,2,1,2,0
32,5,177368109,180790901,2,1,2,1
33,6,100116,292658,2,1,2,0
34,6,294018,171049557,2,1,2,1
35,7,24220,76072376,2,1,4,2
36,7,76073704,76111023,2,1,5,1
37,7,76112060,101127423,2,1,4,2
38,7,101128582,101143549,2,1,6,2
39,7,101144683,159127076,2,1,4,2
40,8,11774,2342250,2,1,2,1
41,8,2343513,2584248,2,1,2,0
42,8,2585648,7158006,2,1,2,1
43,8,7163005,8007305,2,1,2,0
44,8,8011246,43759159,2,1,2,1
45,8,43760762,43792208,2,1,3,1
46,8,43793312,46876735,2,1,2,0
47,8,46878668,47523754,2,1,2,1
48,8,47526205,47546476,2,1,2,0
49,8,47551256,146303788,2,1,2,1
50,9,10469,91078,2,1,2,0
51,9,92138,40788101,2,1,2,1
52,9,40790513,41984453,2,1,1,0
53,9,42010116,45733681,2,1,2,0
54,9,45738153,47255692,2,1,1,0
55,9,65471575,70578527,2,1,2,0
56,9,70579694,141146683,2,1,2,1
57,10,60969,135077626,2,1,2,1
58,10,135079281,135524334,2,1,2,0
59,11,87268,134946318,2,1,2,1
60,12,68657,175100,2,1,2,0
61,12,176139,11510417,2,1,2,1
62,12,11511532,11562123,2,1,2,0
63,12,11563151,133841262,2,1,2,1
64,13,19020095,115108598,2,1,2,1
65,14,19000060,19439030,2,1,3,1
66,14,19440784,20154355,2,1,2,0
67,14,20155817,107052750,2,1,2,1
68,14,107053817,107288870,2,1,2,0
69,15,20000538,20197164,2,1,2,1
70,15,20199077,22671162,2,1,2,0
71,15,22678189,30372459,2,1,2,1
72,15,30373507,30918157,2,1,2,0
73,15,30920919,102520794,2,1,2,1
74,16,60291,18482935,2,1,2,1
75,16,18487004,18774572,2,1,2,0
76,16,18777202,32345022,2,1,2,1
77,16,32350546,33639199,2,1,2,0
78,16,33641499,35280096,2,1,2,1
79,16,46387351,46431966,2,1,2,0
80,16,46433530,90158354,2,1,2,1
81,16,90159555,90292766,2,1,2,0
82,17,828,18266567,2,1,2,1
83,17,18268113,18593827,2,1,2,0
84,17,18594860,43612585,2,1,2,1
85,17,43614807,43662731,2,1,2,0
86,17,43663843,81185372,2,1,2,1
87,18,16444,78017073,2,1,2,1
88,19,226776,59091717,2,1,2,1
89,19,59093239,59118779,2,1,2,0
90,20,61098,62962869,2,1,2,1
91,21,9411410,15301795,2,1,2,0
92,21,15302938,48119634,2,1,2,1
93,22,16051249,16850115,2,1,1,0
94,22,16851125,18596289,2,1,2,1
95,22,18597404,18932671,2,1,2,0
96,22,18935320,51240820,2,1,2,1
97,X,2699555,154929412,2,1,2,1
