1,1,13116,521578,2,1,2,0
2,1,526736,12842547,2,1,1,0
3,1,12844039,13139819,2,1,0,0
4,1,13141354,25590806,2,1,1,0
5,1,25592695,25660621,2,1,0,0
6,1,25663049,72766085,2,1,1,0
7,1,72767251,72811460,2,1,0,0
8,1,72812657,121484236,2,1,1,0
9,1,142535439,142688347,2,1,2,1
10,1,142690236,142729800,2,1,3,1
11,1,142781170,143671937,2,1,2,1
12,1,143711265,249239902,2,1,1,0
13,2,10587,89835312,2,1,2,1
14,2,89836979,89883532,2,1,3,1
15,2,89884606,243187487,2,1,2,1
16,3,60197,12720967,2,1,2,1
17,3,12722870,12732014,2,1,3,1
18,3,12734469,197908615,2,1,2,1
19,4,11961,49084371,2,1,3,1
20,4,49087916,49158588,2,1,4,1
21,4,49159679,49489381,2,1,3,1
22,4,49490753,52682360,2,1,2,1
23,4,52683607,191043877,2,1,3,1
24,5,11882,180790901,2,1,2,1
25,6,100116,171049557,2,1,2,1
26,7,24220,159127076,2,1,2,1
27,8,11774,146303788,2,1,2,1
28,9,10469,141146683,2,1,2,1
29,10,60969,18839971,2,1,2,1
30,10,18841090,18863514,2,1,3,1
31,10,18864958,25031272,2,1,2,1
32,10,25032463,25048987,2,1,3,1
33,10,25052042,38773338,2,1,2,1
34,10,38774359,38890752,2,1,3,1
35,10,38891752,135524334,2,1,2,1
36,11,87268,134946318,2,1,2,1
37,12,68657,133841262,2,1,2,1
38,13,19020095,115108598,2,1,2,1
39,14,19000060,107288870,2,1,2,1
40,15,20000538,102520794,2,1,2,1
41,16,60291,32353963,2,1,2,1
42,16,32355603,32893876,2,1,3,1
43,16,32896606,90292766,2,1,2,1
44,17,828,81185372,2,1,2,1
45,18,16444,47015320,2,1,2,1
46,18,47017820,47029805,2,1,3,1
47,18,47031011,78017073,2,1,2,1
48,19,226776,59118779,2,1,2,1
49,20,61098,29804073,2,1,2,1
50,20,29805207,29832718,2,1,3,1
51,20,29833898,62962869,2,1,2,1
52,21,9411410,9577247,2,1,1,0
53,21,9579380,10770843,2,1,2,1
54,21,10772018,10860688,2,1,3,1
55,21,10861945,18261286,2,1,2,1
56,21,18262352,20604253,2,1,1,0
57,21,20605961,48119634,2,1,2,1
58,22,16051249,16255517,2,1,1,0
59,22,16257707,16673521,2,1,2,1
60,22,16676737,16867535,2,1,3,1
61,22,16869223,51240820,2,1,2,1
62,X,2699555,154929412,2,1,2,1
